,Age,Employment_Type,Annual_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Loan_Purpose,Debt_to_Income_Ratio,Loan_Status
81,24,2,0,660,5000,24,2,0.0,0
82,28,2,15000,610,4500,48,2,0.42,1
83,54,1,50000,670,8000,36,1,0.36,1
84,55,1,110000,780,85000,84,0,0.18,1
85,68,0,78000,730,20000,72,5,0.24,1
86,33,1,50000,570,28000,60,5,0.53,0
87,52,0,99000,770,32000,72,1,0.22,1
88,40,1,55000,640,25000,48,5,0.46,0
89,65,1,88000,640,60000,120,3,0.41,0
90,23,0,38000,660,10000,36,5,0.45,0
91,28,3,0,320,600,12,5,0.8,0
92,67,1,115000,780,65000,96,3,0.2,1
93,35,0,68000,700,18000,48,3,0.3,1
94,60,0,130000,800,60000,120,0,0.12,1
95,62,0,78000,710,23000,54,2,0.29,1
96,41,3,0,380,100,12,5,0.8,0
97,20,2,8000,660,6000,48,2,0.15,1
98,34,1,42000,590,14000,36,3,0.51,0
99,41,0,60000,660,18000,48,5,0.41,1
100,45,0,95000,765,25000,36,1,0.22,1
101,51,1,65000,610,45000,72,0,0.6,0
102,61,0,110000,795,20000,36,5,0.18,1
103,30,1,30000,550,15000,48,5,0.6,0
104,52,0,110000,780,36000,72,1,0.23,1
105,47,1,75000,650,37500,72,1,0.42,1
106,23,2,22000,685,8000,48,2,0.11,1
107,32,0,130000,770,35000,48,3,0.27,1
108,68,0,145000,820,15000,12,5,0.11,1
109,60,0,160000,800,40000,36,1,0.21,1
110,34,0,67000,680,24000,60,1,0.37,1
111,42,0,110000,700,50000,72,3,0.3,1
112,47,1,180000,780,60000,72,0,0.28,1
113,30,3,8000,510,2000,24,5,0.62,0
114,35,1,80000,660,50000,84,0,0.4,0
115,62,1,95670,715,47835,72,3,0.31,1
116,58,1,125000,800,52000,108,1,0.22,1
117,40,2,9000,560,3000,24,2,0.52,0
118,28,1,62000,690,15000,48,0,0.35,1
119,60,0,48000,660,12000,36,4,0.33,1
120,40,1,80000,690,28000,60,0,0.34,1
121,59,1,70000,690,20000,72,0,0.27,1
122,63,3,500,320,500,12,5,0.7,0
123,58,0,110000,760,15000,24,5,0.15,1
124,57,0,160000,830,60000,108,0,0.12,1
125,29,3,0,590,3000,24,5,0.75,0
126,25,2,22000,660,10000,60,2,0.35,1
127,28,2,25000,660,15000,60,2,0.55,0
128,51,0,65000,670,30000,48,1,0.4,0
129,60,3,3000,400,1500,12,4,0.76,0
130,62,1,180000,800,120000,120,0,0.16,1
131,49,0,95000,730,45000,60,3,0.22,1
132,38,0,68000,710,45000,72,3,0.27,1
133,51,0,100000,800,40000,96,3,0.11,1
134,25,2,5000,580,2000,24,2,0.15,1
135,57,0,140000,840,100000,120,3,0.17,1
136,47,1,142718,655,77789,96,1,0.51,0
137,25,2,7000,600,5000,24,2,0.65,0
138,26,2,10000,500,8000,36,5,0.6,0
139,40,3,0,450,0,12,5,0.75,0
140,44,0,95000,790,40000,72,2,0.22,1
141,40,0,105000,770,40000,60,1,0.35,1
142,39,0,70000,715,20000,60,1,0.3,1
143,48,0,135000,780,40000,36,3,0.22,1
144,53,1,180000,800,60000,120,3,0.3,1
145,42,1,65000,720,20000,48,0,0.3,1
146,24,2,18000,660,5000,24,5,0.33,0
147,47,0,135000,760,50000,84,3,0.21,1
148,27,2,9500,580,2900,24,2,0.53,0
149,58,3,500,320,500,12,4,0.78,0
150,68,1,80000,700,50000,72,0,0.32,1
151,25,2,8000,580,2000,18,2,0.55,0
152,47,3,9500,540,1600,24,5,0.61,0
153,48,1,132100,790,66100,84,3,0.18,1
154,49,1,65000,720,60000,84,0,0.62,0
155,50,0,130000,790,70000,96,3,0.19,1
156,57,0,108000,775,35000,84,4,0.21,1
157,36,1,75000,690,25000,60,0,0.38,1
158,36,0,68000,700,18000,60,4,0.28,1
159,44,0,72000,680,25000,60,1,0.31,1
160,58,0,112000,805,31000,120,4,0.13,1
161,51,1,66597,601,31018,48,4,0.33,1
162,29,2,12000,680,8000,36,2,0.15,1
163,41,1,72000,710,20000,48,5,0.34,0
164,22,2,15000,690,8000,120,2,0.1,1
165,23,2,18000,620,7000,24,2,0.39,0
166,62,3,12000,580,5000,24,4,0.1,0
167,39,0,160000,810,40000,48,1,0.23,1
168,24,3,0,420,1000,12,5,0.74,0
169,47,1,104860,613,101569,72,3,0.48,1
170,30,0,40000,660,12000,48,1,0.48,0
171,69,0,180000,800,110000,120,3,0.24,1
172,57,0,100000,790,60000,96,3,0.21,1
173,49,1,110000,800,30000,120,0,0.14,1
174,44,3,6000,420,2500,24,5,0.7,0
175,42,0,70000,670,18000,60,4,0.33,1
176,27,0,42000,615,15000,36,5,0.42,0
177,41,0,90000,700,40000,60,3,0.27,1
178,40,1,160000,790,80000,108,0,0.15,1
179,35,1,120000,690,50000,120,0,0.35,1
180,48,0,98100,698,25000,60,3,0.31,1
181,39,0,80000,730,25000,84,3,0.29,1
182,65,3,2000,350,700,12,5,0.78,0
183,56,0,140000,830,110000,108,3,0.11,1
184,26,2,8000,600,10000,36,2,0.75,0
185,45,0,85000,750,20000,36,3,0.25,1
186,27,2,15000,580,3500,24,2,0.48,0
187,52,1,80000,660,40000,72,4,0.37,1
188,45,3,8000,500,2500,24,5,0.6,0
189,21,3,0,505,6000,36,4,0.77,0
190,37,0,125000,760,40000,48,1,0.23,1
191,53,0,115000,725,35000,60,1,0.36,1
192,33,2,7900,590,2400,24,2,0.51,0
193,43,1,77000,715,20000,48,3,0.31,0
194,46,1,150000,800,60000,96,0,0.15,1
195,61,0,124806,698,99002,72,1,0.47,1
196,40,0,92000,790,30000,48,1,0.2,1
197,55,0,90000,780,45000,84,0,0.2,1
198,42,1,60000,680,15000,48,0,0.33,1
199,55,3,0,400,1000,12,5,0.75,0
200,40,0,96000,755,25000,72,1,0.19,1
201,39,1,150000,800,45000,84,0,0.15,1
202,53,3,500,350,500,12,4,0.8,0
203,48,1,160000,830,80000,120,5,0.12,1
204,35,1,40000,570,20000,60,0,0.7,0
205,36,1,75000,580,40000,84,0,0.62,0
206,41,1,95000,760,28000,96,0,0.29,1
207,59,0,150000,820,300000,120,0,0.12,1
208,35,1,60000,650,20000,48,3,0.4,1
209,26,2,25000,700,8000,36,2,0.2,1
210,27,3,3000,350,1500,24,5,0.77,0
211,58,3,8000,520,5000,24,4,0.75,0
212,23,2,7000,440,1500,18,2,0.68,0
213,30,1,72000,700,21600,60,3,0.28,1
214,30,3,8000,400,40000,50,4,0.71,0
215,26,0,40000,600,10000,36,5,0.5,0
216,30,2,9000,560,3000,24,2,0.52,0
217,21,2,5000,500,2500,12,5,0.72,0
218,25,2,18000,610,6000,30,2,0.29,1
219,30,3,8000,520,1500,18,4,0.6,0
220,58,1,180000,830,150000,120,0,0.08,1
221,67,1,89000,715,18000,36,5,0.28,1
222,31,0,90000,740,18000,24,1,0.21,1
223,30,0,45000,620,18000,48,1,0.48,0
224,69,3,2000,390,750,12,5,0.72,0
226,43,0,98000,710,35000,60,0,0.28,1
227,53,0,160000,790,25000,36,4,0.12,1
228,32,1,62000,710,15000,48,0,0.32,1
229,41,0,55639,661,16691,55,1,0.41,1
230,51,3,1500,410,50000,36,5,0.68,0
231,26,0,48000,670,25000,60,1,0.45,0
232,49,1,60000,640,25000,48,1,0.43,0
233,66,0,62000,700,35000,60,4,0.38,0
234,54,0,98000,765,31000,72,5,0.23,1
235,55,0,135000,820,30000,24,5,0.1,1
236,26,3,2000,420,1500,18,5,0.72,0
237,29,0,38000,620,20000,48,4,0.52,0
238,64,1,70000,600,45000,84,0,0.62,0
239,50,1,150000,800,100000,120,0,0.2,1
240,43,3,4000,450,1500,24,4,0.4,0
241,30,1,75000,670,35000,60,1,0.48,0
242,37,3,500,440,200,24,1,0.77,0
243,58,1,182810,795,18281,39,3,0.15,1
244,24,3,5821,410,2500,24,4,0.65,0
245,45,1,79000,730,21000,48,3,0.28,1
246,23,3,0,300,500,12,5,0.78,0
247,34,0,98000,760,22000,36,4,0.23,1
248,47,0,105000,730,30000,36,3,0.21,1
249,49,0,88000,680,40000,72,3,0.39,1
250,68,0,140000,790,80000,120,3,0.19,1
251,65,0,80000,700,35000,72,1,0.28,1
252,33,0,63000,690,16000,48,4,0.34,1
253,57,0,120000,750,40000,72,3,0.23,1
254,34,1,60000,690,40000,60,0,0.32,1
255,65,1,55000,660,10000,24,4,0.25,1
256,28,2,13000,550,3000,24,5,0.63,0
257,37,0,115456,745,57234,60,3,0.28,1
258,28,3,1000,440,1500,12,4,0.68,0
259,42,1,167890,688,33578,110,0,0.26,1
260,28,2,18000,660,7000,36,2,0.27,1
261,68,0,90000,760,25000,60,4,0.23,1
262,40,0,70000,700,30000,60,3,0.25,1
263,52,0,108000,790,29000,120,3,0.15,1
264,50,0,88000,640,40000,60,1,0.49,0
265,67,1,85000,740,30000,48,5,0.22,1
266,32,3,4000,420,1500,18,5,0.68,0
267,25,2,9000,570,1200,12,5,0.19,0
268,64,0,70000,710,18000,60,4,0.28,1
269,54,0,155000,805,75000,108,1,0.16,1
270,36,0,110000,750,30000,48,5,0.21,1
271,66,3,3000,390,600,12,5,0.77,0
272,37,3,1000,300,500,12,4,0.79,0
273,29,3,6000,490,3000,24,5,0.58,0
274,56,1,170000,800,115000,120,0,0.14,1
275,55,1,220000,800,90000,84,3,0.29,1
276,27,1,45000,610,15000,36,2,0.42,0
277,50,1,60000,640,30000,72,2,0.4,1
278,52,1,170000,810,300000,120,0,0.12,1
279,58,3,0,590,5000,12,5,0.78,0
280,37,1,78000,570,40000,60,0,0.52,0
281,37,0,55000,570,25000,36,3,0.5,0
282,56,3,22000,560,18000,60,4,0.67,0
283,39,0,75000,670,35000,48,1,0.42,1
284,68,1,62000,610,30000,72,0,0.53,0
285,39,1,68000,655,30000,72,0,0.51,0
286,65,1,190000,840,95000,120,3,0.15,1
287,45,0,90000,725,30000,72,1,0.26,1
288,48,3,0,590,8000,36,5,0.78,0
289,28,2,25000,620,10000,36,5,0.45,0
290,43,0,110000,810,60000,96,0,0.15,1
291,44,0,75000,720,19000,72,5,0.23,1
292,47,0,92000,730,48000,60,3,0.24,1
293,40,3,1000,320,500,12,4,0.02,0
294,24,2,22000,700,8000,36,5,0.15,1
295,26,1,42000,580,20000,48,5,0.62,0
296,46,0,72000,700,28000,60,3,0.33,1
297,55,0,175000,850,130000,120,3,0.13,1
298,39,1,70000,695,18000,48,0,0.39,0
299,21,2,6896,527,11760,24,2,0.39,1
300,44,1,115000,670,45000,60,0,0.38,1
301,43,0,95000,760,40000,60,0,0.22,1
302,68,3,1000,310,600,12,5,0.79,0
303,21,3,1000,350,1000,12,4,0.8,0
304,30,0,56000,675,15000,36,1,0.37,0
305,39,1,95000,760,24000,84,0,0.2,1
306,22,2,8000,550,2500,24,2,0.52,0
307,24,2,18000,680,5000,36,2,0.3,1
308,53,3,0,480,5000,24,4,0.8,0
309,23,3,0,515,7000,36,4,0.75,0
310,60,0,95000,810,70000,120,3,0.15,1
311,24,2,7500,600,6000,24,2,0.63,0
312,28,3,0,510,5000,36,4,0.8,0
313,32,0,48000,620,11000,36,4,0.45,0
314,30,0,85000,730,40000,72,3,0.23,1
315,44,3,1000,450,2500,12,5,0.6,0
316,52,1,90000,730,62000,84,3,0.23,1
317,69,0,175000,795,45000,60,5,0.21,1
318,20,2,5000,590,4500,36,2,0.7,0
319,26,2,8300,605,6000,24,2,0.6,0
320,51,0,90000,750,32000,66,1,0.21,1
321,66,0,35000,520,12000,24,3,0.63,0
322,30,3,4500,460,1500,24,4,0.7,0
323,35,3,9000,540,4000,12,5,0.6,0
324,38,0,55000,690,15000,48,5,0.31,1
325,28,2,19000,610,3800,36,2,0.38,0
326,60,0,160000,840,125000,120,3,0.14,1
327,60,0,105000,780,35000,84,3,0.22,1
328,20,2,5000,530,1000,12,5,0.5,0
329,40,0,75000,705,20000,48,4,0.32,1
330,29,0,63000,680,45000,84,1,0.59,0
331,66,1,80000,720,24000,72,5,0.28,1
332,26,2,8000,605,6000,24,2,0.59,0
333,30,0,45000,660,20000,48,1,0.45,0
334,28,2,15000,640,6000,24,2,0.3,1
335,26,2,10000,500,50000,80,5,0.69,0
336,54,0,101000,770,31000,96,1,0.22,1
337,26,0,58000,690,12000,36,5,0.23,1
338,43,3,3000,350,1000,12,4,0.7,0
339,46,0,70000,700,30000,60,4,0.3,1
340,30,0,82000,730,22000,60,0,0.24,1
341,20,2,13000,580,3900,48,2,0.47,0
342,46,0,150000,815,75000,96,3,0.12,1
343,54,1,90000,610,40000,60,0,0.5,0
344,49,0,68000,710,22000,60,2,0.29,1
345,30,0,52000,660,13000,36,5,0.39,0
346,42,1,130000,800,60000,108,1,0.17,1
347,22,3,4000,420,800,12,5,0.72,0
348,29,0,51000,660,12000,36,4,0.44,0
349,22,2,8000,550,2000,12,2,0.55,0
350,67,0,72000,650,20000,60,4,0.38,1
351,24,2,10000,500,4000,12,2,0.25,0
352,36,3,500,400,2000,12,5,0.8,0
353,41,1,110000,780,45000,96,3,0.18,1
354,27,3,5000,520,8000,12,4,0.6,0
355,32,0,57000,680,15000,36,1,0.39,0
356,40,1,160000,830,120000,120,0,0.14,1
357,59,0,130000,820,20000,12,5,0.1,1
358,43,0,72000,680,18000,48,4,0.34,1
359,58,1,90000,760,30000,96,0,0.3,1
360,27,0,52000,650,30000,48,1,0.5,0
361,57,1,200000,850,180000,120,0,0.05,1
362,40,0,82000,735,30000,72,3,0.26,1
363,67,0,125000,800,40000,120,3,0.14,1
364,31,2,12000,580,4000,24,2,0.55,0
365,20,2,0,320,500,12,5,0.72,0
366,37,0,90000,760,45000,60,3,0.25,1
367,38,0,92000,720,30000,60,3,0.33,1
368,54,1,160000,790,130000,120,3,0.17,1
369,35,1,42000,580,8000,24,4,0.55,0
370,38,1,55000,670,10000,36,5,0.39,1
371,36,0,68000,660,30000,72,1,0.44,0
372,42,0,73000,710,21000,48,1,0.28,1
373,33,3,0,320,1000,12,5,0.75,0
374,55,0,120000,810,60000,84,2,0.18,1
375,51,0,90000,750,45000,72,1,0.25,1
376,30,0,90000,770,30000,48,3,0.26,1
377,31,2,30000,690,10000,36,2,0.28,1
378,61,3,7000,550,3500,18,4,0.66,0
379,61,0,102000,765,30000,84,3,0.24,1
380,66,0,110000,780,60000,108,3,0.17,1
381,22,2,0,430,700,12,5,0.8,0
382,59,0,130000,680,80000,84,1,0.33,1
383,31,0,49000,590,22000,72,1,0.56,0
384,21,2,5000,500,2000,12,5,0.65,0
385,29,0,55000,650,18000,36,1,0.32,1
386,40,0,98000,760,49000,84,5,0.24,1
387,31,0,65000,690,25000,60,1,0.42,0
388,34,0,40000,590,12000,36,1,0.58,0
389,51,3,11000,510,7000,48,1,0.53,0
390,49,3,11000,590,7500,24,4,0.68,0
391,25,2,15000,690,8000,84,2,0.15,1
392,24,2,12000,590,6000,30,2,0.4,0
393,26,1,48000,640,30000,60,0,0.45,0
394,34,2,8000,630,6000,24,2,0.53,0
395,52,1,150000,790,100000,120,0,0.2,1
396,49,0,105000,760,32000,36,4,0.26,1
397,55,1,130000,810,70000,120,3,0.17,1
398,27,2,12000,530,2500,24,2,0.52,0
399,48,0,99000,770,30000,60,4,0.22,1
400,29,2,0,400,1000,12,4,0.7,0
401,22,2,15000,650,5000,24,2,0.4,1
402,31,0,42000,620,13000,48,1,0.45,1
403,46,0,130000,820,70000,120,1,0.16,1
404,23,2,12345,625,3500,24,2,0.15,1
405,56,0,180000,800,90000,108,3,0.12,1
406,22,2,15000,640,5000,24,2,0.5,1
407,49,0,75000,650,18000,60,2,0.42,1
408,37,0,90000,750,20000,36,1,0.24,1
409,31,1,60000,540,25000,60,5,0.75,0
411,20,2,3000,610,1200,18,2,0.28,1
412,37,1,68000,695,18000,60,0,0.39,0
413,27,2,12000,590,5000,24,2,0.49,0
414,37,0,70000,740,15000,36,3,0.21,1
415,69,0,150000,840,80000,120,3,0.1,1
416,33,1,60000,680,55000,120,1,0.49,0
417,21,2,18000,680,20000,120,2,0.45,0
418,58,0,120000,785,45000,96,1,0.18,1
419,34,0,60000,680,12000,36,1,0.34,1
420,51,1,95000,660,50000,72,1,0.5,0
421,50,0,70000,690,35000,60,3,0.38,1
422,30,3,2000,380,500,12,4,0.68,0
423,68,0,75000,780,10000,12,4,0.1,1
424,32,0,80000,740,24000,48,1,0.28,1
425,50,0,105000,740,75000,84,3,0.26,1
426,70,0,160000,800,90000,120,3,0.21,1
427,35,0,50000,670,25000,60,1,0.35,1
428,54,1,90000,765,29000,72,3,0.23,1
429,31,0,55000,660,14000,36,5,0.39,0
430,68,3,0,380,500,12,4,0.75,0
431,62,1,170000,810,130000,120,0,0.19,1
432,24,2,5000,480,25000,70,2,0.73,0
433,30,1,40000,600,7000,24,4,0.5,0
434,24,2,18000,700,12000,84,2,0.2,1
435,65,0,130000,790,60000,108,3,0.12,1
436,34,3,3000,450,800,12,4,0.7,0
437,61,0,118000,815,34000,120,3,0.11,1
438,25,0,52000,690,15000,36,5,0.28,1
439,57,0,100000,770,30000,96,4,0.22,1
440,30,0,70000,680,27000,48,1,0.31,1
441,33,0,80000,700,25000,72,2,0.28,1
442,58,0,110000,790,70000,108,3,0.2,1
443,27,0,48000,645,13000,36,4,0.45,0
444,48,1,82000,730,25000,60,0,0.28,1
445,47,1,100000,750,50000,96,0,0.24,1
446,59,0,102000,765,28000,60,4,0.22,1
447,53,1,58000,595,45000,84,3,0.62,0
448,32,1,60000,720,15000,48,0,0.28,1
449,24,2,6000,590,5000,24,2,0.63,0
450,45,1,100000,750,50000,84,0,0.26,1
451,61,0,120000,795,60000,120,0,0.19,1
452,50,0,94000,755,29000,72,1,0.24,1
453,39,1,95000,730,35000,72,1,0.26,1
454,65,2,10000,500,3000,24,2,0.58,0
455,21,2,5000,590,1000,12,2,0.1,1
456,51,1,92000,740,30000,60,0,0.4,1
457,27,0,52000,660,40000,96,1,0.61,0
458,51,0,130000,810,25000,36,4,0.18,1
459,59,0,115000,775,65000,120,3,0.21,1
460,63,1,35000,520,8000,24,4,0.65,0
461,31,0,65000,645,26000,60,1,0.52,0
463,41,3,8000,550,5000,24,4,0.7,0
464,65,1,150000,810,75000,96,3,0.15,1
465,40,0,85000,635,40000,60,1,0.47,0
466,22,2,12000,690,8000,84,2,0.1,1
467,51,0,95000,780,48000,120,0,0.17,1
468,65,0,150000,800,100000,120,3,0.18,1
469,61,0,115000,760,48000,84,0,0.2,1
470,31,0,45000,610,14000,48,1,0.52,0
471,25,0,48000,680,10000,24,5,0.2,1
472,24,2,0,610,12000,72,2,0.1,0
473,32,3,14000,570,9000,36,4,0.62,0
474,45,1,50000,620,15000,36,0,0.45,0
475,27,0,47000,640,13000,36,4,0.46,0
476,65,0,60000,650,10000,36,1,0.42,1
477,35,1,30000,580,20000,60,1,0.6,0
478,61,0,115000,790,34500,96,3,0.19,1
479,36,1,30000,500,8000,24,3,0.6,0
480,58,0,120000,800,70000,84,3,0.1,1
481,25,2,8000,620,3000,24,2,0.1,1
482,24,2,10000,560,2500,12,5,0.6,0
483,54,3,15000,590,3000,36,5,0.49,0
484,22,3,0,520,7000,24,4,0.77,0
485,42,1,140000,810,70000,120,1,0.1,1
486,32,2,10000,580,4000,36,2,0.33,1
487,58,0,150000,810,45000,84,1,0.15,1
488,22,2,7000,590,1800,24,2,0.35,0
489,21,2,13000,590,2800,36,2,0.3,1
490,32,2,11000,600,2000,12,5,0.58,0
491,39,0,90000,695,30000,60,3,0.36,1
492,32,1,85000,710,20000,36,0,0.23,1
493,39,1,35000,605,20000,48,0,0.62,0
494,26,2,9000,605,6000,24,2,0.59,0
495,24,2,22000,600,4500,48,2,0.32,1
496,61,0,125000,780,95000,96,3,0.16,1
497,28,2,13000,615,2500,24,2,0.56,0
498,60,0,140000,800,45000,120,3,0.16,1
499,34,1,95432,710,25000,48,3,0.32,1
500,51,1,210000,820,100000,84,0,0.21,1
501,42,0,60000,640,45000,48,1,0.48,0
502,49,1,180000,770,80000,96,0,0.22,1
503,54,0,88000,720,17600,68,0,0.21,1
504,22,3,1000,410,2000,12,5,0.69,0
505,28,2,18000,630,4000,36,2,0.35,1
506,60,0,129215,764,25843,49,3,0.14,1
507,37,1,80000,690,20000,48,4,0.36,1
508,22,2,15000,610,10000,48,2,0.6,0
509,25,2,9000,560,2000,36,5,0.52,0
510,65,3,12000,590,5000,24,4,0.45,0
511,28,3,7000,490,1500,24,5,0.68,0
512,26,1,40000,570,16000,72,0,0.68,0
513,25,2,19000,680,4500,36,2,0.18,1
514,49,0,87000,730,28000,72,1,0.29,1
515,58,1,110000,780,50000,84,0,0.3,1
516,33,2,25000,660,10000,24,2,0.33,1
517,27,0,48000,615,18000,36,1,0.42,0
518,66,1,48000,630,18000,48,5,0.53,0
519,39,1,95000,700,30000,36,3,0.28,1
520,30,3,0,430,0,12,4,0.72,0
521,50,0,105000,790,35000,96,1,0.21,1
522,48,1,200000,840,150000,120,0,0.05,1
523,55,0,90000,760,40000,60,5,0.2,1
524,41,0,60000,650,20000,48,1,0.35,1
525,59,0,130000,840,70000,120,3,0.15,1
526,29,1,35000,600,8000,36,1,0.59,0
527,64,0,118000,790,38000,84,1,0.2,1
528,63,0,100000,760,50000,84,5,0.2,1
529,67,0,68000,640,23000,48,0,0.36,1
530,33,3,11000,530,12000,36,4,0.69,0
531,48,0,98000,740,55000,72,3,0.21,1
532,50,0,95000,755,30000,72,4,0.24,1
533,70,1,120000,810,60000,96,0,0.15,1
534,60,1,140000,800,65000,120,0,0.23,1
535,44,0,75000,690,26000,60,1,0.3,1
536,20,3,0,495,5000,36,4,0.79,0
538,29,2,5000,560,500,12,5,0.58,0
539,54,0,89000,730,26700,84,1,0.27,1
540,37,0,68000,700,18000,48,2,0.37,0
541,52,0,150000,810,50000,72,0,0.15,1
542,46,1,75000,660,45000,72,3,0.58,0
543,42,1,125000,760,60000,84,0,0.25,1
544,51,0,140000,790,32000,36,3,0.16,1
545,63,1,98000,765,35000,84,0,0.22,1
546,34,3,0,370,1200,12,5,0.76,0
547,22,3,0,480,1000,12,4,0.75,0
548,34,0,70000,690,20000,60,2,0.3,1
549,20,2,0,380,1000,12,5,0.78,0
550,28,2,19000,610,5700,48,2,0.37,1
551,24,0,60000,685,20000,36,3,0.37,1
552,52,1,180000,820,45000,84,0,0.15,1
553,54,1,35000,540,6000,24,0,0.62,0
554,41,0,120000,780,15000,24,4,0.18,1
555,58,1,180000,800,320000,120,0,0.09,1
556,40,0,71000,700,19000,48,5,0.35,0
557,50,0,110000,690,20000,36,3,0.33,1
558,48,3,2000,380,800,12,5,0.79,0
559,41,0,72000,710,25000,72,5,0.25,1
560,32,0,48700,650,14600,60,1,0.41,1
561,47,1,90000,750,35000,60,0,0.2,1
562,20,3,0,300,500,12,5,0.78,0
563,24,2,19000,635,6000,42,2,0.33,1
564,50,3,8000,520,1500,24,4,0.57,0
565,50,0,94000,755,28000,72,1,0.24,1
566,44,1,250000,760,100000,84,0,0.31,1
567,31,2,22000,670,15000,60,2,0.31,1
568,47,0,95000,730,45000,72,1,0.26,1
569,43,1,76000,710,20000,48,3,0.32,0
570,28,0,68000,705,18000,36,1,0.27,1
571,50,0,100000,750,55000,84,3,0.23,1
572,44,1,62000,640,30000,72,1,0.52,0
573,68,0,65000,660,28000,72,3,0.36,1
574,31,2,14000,610,5000,36,2,0.21,1
575,31,3,500,300,500,12,4,0.8,0
576,38,1,70000,650,22000,60,1,0.39,1
577,38,0,75000,685,30000,48,4,0.4,1
578,52,0,75000,650,40000,60,3,0.48,0
579,57,3,2000,420,4000,24,5,0.77,0
580,68,0,185000,805,100000,120,3,0.2,1
581,29,2,15000,640,6000,48,2,0.27,1
582,31,3,0,400,1000,12,5,0.76,0
583,26,2,10000,600,5000,36,2,0.37,0
